"CHSI_State_Abbr","meanALE","mAD","mHS","mUD","meanAll_Death","meanHealth_Status","meanUnhealthy_Days"
"AL",74.38125,1016.79375,21.8791666666667,7.17291666666667,1016.79375,21.8791666666667,7.17291666666667
"AR",74.6305555555556,989.676388888889,22.0208333333333,7.17222222222222,989.676388888889,22.0208333333333,7.17222222222222
"AZ",77.3142857142857,816.314285714286,17.15,6.13571428571429,816.314285714286,17.15,6.13571428571429
"CA",77.8525,797.4125,15.79,6.43,797.4125,15.79,6.43
"CO",78.6823529411765,773.338235294118,11.2235294117647,5.33529411764706,773.338235294118,11.2235294117647,5.33529411764706
"CT",78.4125,765.1,11.8625,5.575,765.1,11.8625,5.575
"DC",72,1024.9,12.2,5.4,1024.9,12.2,5.4
"DE",76.2666666666667,867.566666666667,14.0666666666667,6.1,867.566666666667,14.0666666666667,6.1
"FL",76.5087719298246,873.814035087719,17.4719298245614,6.13684210526316,873.814035087719,17.4719298245614,6.13684210526316
"GA",74.607476635514,1006.40093457944,18.3280373831776,6.28878504672897,1006.40093457944,18.3280373831776,6.28878504672897
"HI",79.475,672.5,13.275,4.55,672.5,13.275,4.55
"IA",78.46875,789.211458333333,12.9770833333333,4.88333333333333,789.211458333333,12.9770833333333,4.88333333333333
"ID",77.6952380952381,821.640476190476,15.4857142857143,6.01904761904762,821.640476190476,15.4857142857143,6.01904761904762
"IL",77.1890625,865.6953125,15.0796875,5.5375,865.6953125,15.0796875,5.5375
"IN",76.425,907.825,17.1964285714286,6.4297619047619,907.825,17.1964285714286,6.4297619047619
"KS",77.3952941176471,843.261176470588,14.3658823529412,5.01529411764706,843.261176470588,14.3658823529412,5.01529411764706
"KY",74.8110091743119,1024.55137614679,26.5871559633028,7.9045871559633,1024.55137614679,26.5871559633028,7.9045871559633
"LA",74.0482142857143,1032.05357142857,20.3017857142857,5.75714285714286,1032.05357142857,20.3017857142857,5.75714285714286
"MA",78.4142857142857,800.042857142857,12.3142857142857,5.8,800.042857142857,12.3142857142857,5.8
"MD",76.5458333333333,886.520833333333,13.3583333333333,5.80833333333333,886.520833333333,13.3583333333333,5.80833333333333
"ME",77.35,857.05625,14.84375,6.2,857.05625,14.84375,6.2
"MI",77.0590909090909,857.216666666667,15.2121212121212,6.2469696969697,857.216666666667,15.2121212121212,6.2469696969697
"MN",78.9736111111111,757.191666666667,12.4027777777778,5.21944444444444,757.191666666667,12.4027777777778,5.21944444444444
"MO",75.9483870967742,932.175268817204,19.7849462365591,6.55698924731183,932.175268817204,19.7849462365591,6.55698924731183
"MS",73.4666666666667,1057.26811594203,24.5246376811594,7.08985507246377,1057.26811594203,24.5246376811594,7.08985507246377
"MT",76.8617021276596,875,14.6446808510638,5.39787234042553,875,14.6446808510638,5.39787234042553
"NC",75.3309523809524,950.582142857143,20.8666666666667,6.06666666666667,950.582142857143,20.8666666666667,6.06666666666667
"ND",77.654347826087,802.926086956522,14.354347826087,4.75652173913043,802.926086956522,14.354347826087,4.75652173913043
"NE",78.1216216216216,807.759459459459,14.3756756756757,4.86891891891892,807.759459459459,14.3756756756757,4.86891891891892
"NH",77.94,796.73,11.36,5.58,796.73,11.36,5.58
"NJ",77.2857142857143,836.714285714286,14.7333333333333,5.78571428571429,836.714285714286,14.7333333333333,5.78571428571429
"NM",77.0433333333333,844.57,19.2266666666667,6.59333333333333,844.57,19.2266666666667,6.59333333333333
"NV",75.9461538461538,929.323076923077,16.1615384615385,6.64615384615385,929.323076923077,16.1615384615385,6.64615384615385
"NY",77.5706896551724,828.96724137931,15.3793103448276,6.12241379310345,828.96724137931,15.3793103448276,6.12241379310345
"OH",76.6296296296296,891.631481481482,13.4944444444444,5.88518518518519,891.631481481482,13.4944444444444,5.88518518518519
"OK",74.9417910447761,993.286567164179,21.4597014925373,6.70149253731343,993.286567164179,21.4597014925373,6.70149253731343
"OR",77.3806451612903,839.722580645161,17.0645161290323,6.3258064516129,839.722580645161,17.0645161290323,6.3258064516129
"PA",77.1344262295082,851.288524590164,15.7704918032787,6.12295081967213,851.288524590164,15.7704918032787,6.12295081967213
"RI",78.62,772.06,12.56,5.8,772.06,12.56,5.8
"SC",74.3363636363636,987.454545454545,19.1772727272727,6.42272727272727,987.454545454545,19.1772727272727,6.42272727272727
"SD",77.1457627118644,833.806779661017,14.4966101694915,4.93728813559322,833.806779661017,14.4966101694915,4.93728813559322
"TN",74.8655737704918,1001.73278688525,21.5754098360656,6.11311475409836,1001.73278688525,21.5754098360656,6.11311475409836
"TX",76.2333333333333,914.658666666667,18.6066666666667,6.04533333333333,914.658666666667,18.6066666666667,6.04533333333333
"UT",78.2730769230769,814.353846153846,13.2961538461538,5.97692307692308,814.353846153846,13.2961538461538,5.97692307692308
"VA",76.0031578947368,931.271578947368,15.2957894736842,6.11578947368421,931.271578947368,15.2957894736842,6.11578947368421
"VT",77.9285714285714,811.364285714286,12.05,5.62142857142857,811.364285714286,12.05,5.62142857142857
"WA",77.8473684210526,812.773684210526,14.6868421052632,6.00526315789474,812.773684210526,14.6868421052632,6.00526315789474
"WI",78.0692307692308,800.856923076923,12.5415384615385,5.64307692307692,800.856923076923,12.5415384615385,5.64307692307692
"WV",75.0038461538462,1006.36923076923,25.7173076923077,8.28846153846154,1006.36923076923,25.7173076923077,8.28846153846154
"WY",77.1913043478261,861.995652173913,13.0782608695652,5.54782608695652,861.995652173913,13.0782608695652,5.54782608695652
