"","CHSI_County_Name","CHSI_State_Name","Brst_Cancer","Col_Cancer","Lung_Cancer"
"1","Autauga","Alabama",34.1,15.9,65.3
"2","Baldwin","Alabama",22.5,15.3,62.1
"3","Barbour","Alabama",30.5,23.4,70.6
"4","Bibb","Alabama",30.1,17.4,64.6
"5","Blount","Alabama",30.2,16.8,71.7
"6","Bullock","Alabama",30.4,23,49.9
"7","Butler","Alabama",20.5,17.8,52.5
"8","Calhoun","Alabama",26.4,18.4,73.5
"9","Chambers","Alabama",25.3,13.8,63.1
"10","Cherokee","Alabama",11,15.3,54.1
"11","Chilton","Alabama",16.2,13.7,63.6
"12","Choctaw","Alabama",30.2,21.1,65.7
"13","Clarke","Alabama",21.4,25.6,52.7
"14","Clay","Alabama",14.4,12.5,54.2
"15","Cleburne","Alabama",12.7,14.9,50.1
"16","Coffee","Alabama",23.8,17.7,73.8
"17","Colbert","Alabama",34.6,25.8,64.9
"18","Conecuh","Alabama",25.9,19.3,58.4
"19","Coosa","Alabama",24.3,19.6,61.4
"20","Covington","Alabama",25.6,17.1,76.1
"21","Crenshaw","Alabama",26.7,16.7,65.9
"22","Cullman","Alabama",26.6,16.7,67.7
"23","Dale","Alabama",19.3,20,72.3
"24","Dallas","Alabama",26.1,31.5,65.9
"25","DeKalb","Alabama",23.1,13.7,49.9
"26","Elmore","Alabama",34.1,16.9,63.8
"27","Escambia","Alabama",32.3,14.4,67.1
"28","Etowah","Alabama",27.7,16.2,71.7
"29","Fayette","Alabama",19.2,15.6,60
"30","Franklin","Alabama",33.3,15.5,70.1
"31","Geneva","Alabama",22.8,14.6,68.3
"32","Greene","Alabama",39.4,16.9,51.5
"33","Hale","Alabama",29.5,21.4,61.7
"34","Henry","Alabama",31.4,17.2,62.8
"35","Houston","Alabama",29,16.8,61.3
"36","Jackson","Alabama",26.4,19.7,69.3
"37","Jefferson","Alabama",27.2,22,59.6
"38","Lamar","Alabama",23.9,21.6,64.9
"39","Lauderdale","Alabama",25.8,18.5,60.5
"40","Lawrence","Alabama",19.1,14.3,59.1
"41","Lee","Alabama",29,18,55.1
"42","Limestone","Alabama",20.5,18.7,48.2
"43","Lowndes","Alabama",19.9,14.2,45.4
"44","Macon","Alabama",25.9,30.8,57.1
"45","Madison","Alabama",30.9,17,58.2
"46","Marengo","Alabama",26.5,17.5,64.9
"47","Marion","Alabama",24.6,17.8,75.2
